date,RV
1/4/2010,0.422883907
1/5/2010,0.366979263
1/6/2010,0.482101827
1/7/2010,0.342912039
1/8/2010,0.57863126
1/11/2010,0.429724727
1/12/2010,0.3825684
1/13/2010,0.337059061
1/14/2010,0.279410127
1/15/2010,0.352228762
1/18/2010,0.139936625
1/19/2010,0.293275944
1/20/2010,0.546269668
1/21/2010,0.627352684
1/22/2010,0.42859685
1/25/2010,0.287473528
1/26/2010,0.336914657
1/27/2010,0.36970072
1/28/2010,0.37370761
1/29/2010,0.360314729
2/1/2010,0.273667835
2/2/2010,0.235120565
2/3/2010,0.206569108
2/4/2010,0.337942624
2/5/2010,0.804988562
2/8/2010,0.378247136
2/9/2010,0.724066719
2/10/2010,0.520234691
2/11/2010,0.495648385
2/12/2010,0.647160548
2/15/2010,0.171576411
2/16/2010,0.374774874
2/17/2010,0.375173824
2/18/2010,0.691823576
2/19/2010,0.616018431
2/22/2010,0.36285449
2/23/2010,0.509241043
2/24/2010,0.430365402
2/25/2010,0.492793891
2/26/2010,0.479671378
3/1/2010,0.75696009
3/2/2010,0.713102783
3/3/2010,0.496886413
3/4/2010,0.437798187
3/5/2010,0.32813651
3/8/2010,0.248019854
3/9/2010,0.269263033
3/10/2010,0.258789324
3/11/2010,0.305715392
3/12/2010,0.296248309
3/15/2010,0.226741535
3/16/2010,0.336762143
3/17/2010,0.224048039
3/18/2010,0.357402849
3/19/2010,0.228376694
3/22/2010,0.28892484
3/23/2010,0.346795817
3/24/2010,0.537538227
3/25/2010,0.50167893
3/26/2010,0.389152101
3/29/2010,0.342448749
3/30/2010,0.299738956
3/31/2010,0.325353683
4/1/2010,0.38796182
4/2/2010,0.176375537
4/5/2010,0.25804673
4/6/2010,0.281807119
4/7/2010,0.243314207
4/8/2010,0.244292847
4/9/2010,0.439580221
4/12/2010,0.450700139
4/13/2010,0.323174731
4/14/2010,0.303786315
4/15/2010,0.259527267
4/16/2010,0.355447612
4/19/2010,0.245747827
4/20/2010,0.242611885
4/21/2010,0.228119183
4/22/2010,0.308542602
4/23/2010,0.673427952
4/26/2010,0.367528044
4/27/2010,0.584165299
4/28/2010,0.976735449
4/29/2010,0.441066173
4/30/2010,0.460952497
5/3/2010,0.386499597
5/4/2010,0.402816252
5/5/2010,0.735299556
5/6/2010,1.448687195
5/7/2010,2.487914523
5/10/2010,2.435639033
5/11/2010,1.25025247
5/12/2010,0.873028408
5/13/2010,0.63613058
5/14/2010,0.990276277
5/17/2010,1.3734322
5/18/2010,1.386617588
5/19/2010,2.044017818
5/20/2010,1.897607462
5/21/2010,1.897677424
5/24/2010,0.911567415
5/25/2010,1.032516728
5/26/2010,0.937766467
5/27/2010,1.191610004
5/28/2010,1.167486175
5/31/2010,0.375128779
6/1/2010,0.899905606
6/2/2010,0.900581425
6/3/2010,0.62302918
6/4/2010,1.151018987
6/7/2010,0.81483114
6/8/2010,0.706927771
6/9/2010,0.530574472
6/10/2010,0.859388237
6/11/2010,0.55348416
6/14/2010,0.667232845
6/15/2010,0.571646905
6/16/2010,0.4542939
6/17/2010,0.537658728
6/18/2010,0.319431792
6/21/2010,0.647840313
6/22/2010,0.525613443
6/23/2010,0.469593125
6/24/2010,0.527107697
